Operacion,Cuota,Inversion,Resultado,Saldo Final
231,0.58,2.15,PERDIDA,40.9
232,0.47,2.05,PERDIDA,38.85
233,0.21,1.94,PERDIDA,36.91
234,0.18,1.85,PERDIDA,35.06
235,0.79,1.75,GANADA,35.53
236,0.78,1.78,GANADA,36.03
237,0.39,1.8,GANADA,38.85
238,0.22,1.94,PERDIDA,36.91
239,0.27,1.85,GANADA,41.91
240,0.59,2.1,PERDIDA,39.81
241,0.79,1.99,GANADA,40.34
242,0.43,2.02,PERDIDA,38.32
243,0.3,1.92,PERDIDA,36.4
244,0.4,1.82,GANADA,39.13
245,0.76,1.96,GANADA,39.75
246,0.66,1.99,PERDIDA,37.76
247,0.58,1.89,GANADA,39.12
248,0.37,1.96,PERDIDA,37.16
249,0.55,1.86,PERDIDA,35.3
250,0.34,1.77,GANADA,38.74
251,0.41,1.94,GANADA,41.53
252,0.83,2.08,GANADA,41.96
253,0.78,2.1,GANADA,42.55
254,0.46,2.13,PERDIDA,40.42
255,0.32,2.02,PERDIDA,38.4
256,0.84,1.92,GANADA,38.77
257,0.6,1.94,PERDIDA,36.83
258,0.57,1.84,GANADA,38.21
259,0.76,1.91,GANADA,38.82
260,0.8,1.94,GANADA,39.3
261,0.28,1.97,PERDIDA,37.33
262,0.72,1.87,GANADA,38.06
263,0.65,1.9,GANADA,39.08
264,0.32,1.95,PERDIDA,37.13
265,0.18,1.86,PERDIDA,35.27
266,0.24,1.76,PERDIDA,33.51
267,0.21,1.68,PERDIDA,31.83
268,0.6,1.59,PERDIDA,30.24
269,0.7,1.51,GANADA,30.89
270,0.73,1.54,GANADA,31.46
271,0.44,1.57,PERDIDA,29.89
272,0.52,1.49,GANADA,31.26
273,0.74,1.56,GANADA,31.81
274,0.62,1.59,GANADA,32.79
275,0.5,1.64,PERDIDA,31.15
276,0.47,1.56,GANADA,32.91
277,0.44,1.65,GANADA,35.01
278,0.31,1.75,GANADA,38.9
279,0.55,1.95,GANADA,40.5
280,0.39,2.02,GANADA,43.66
281,0.66,2.18,GANADA,44.78
282,0.36,2.24,GANADA,48.76
283,0.62,2.44,GANADA,50.26
284,0.74,2.51,GANADA,51.14
285,0.69,2.56,PERDIDA,48.58
286,0.77,2.43,GANADA,49.31
287,0.35,2.47,PERDIDA,46.84
288,0.61,2.34,GANADA,48.33
289,0.8,2.42,PERDIDA,45.91
290,0.4,2.3,PERDIDA,43.61
291,0.66,2.18,GANADA,44.73
292,0.24,2.24,GANADA,51.83
293,0.59,2.59,PERDIDA,49.24
294,0.81,2.46,GANADA,49.81
295,0.17,2.49,PERDIDA,47.32
296,0.31,2.37,GANADA,52.6
297,0.76,2.63,GANADA,53.43
298,0.32,2.67,PERDIDA,50.76
299,0.28,2.54,GANADA,57.29
300,0.85,2.86,GANADA,57.8
